iter	Logloss
0	0.6873922305
1	0.6812338982
2	0.6747450647
3	0.6684576621
4	0.6625558776
5	0.6584723043
6	0.6537256299
7	0.6501822092
8	0.6456709951
9	0.6411091103
10	0.6380446619
11	0.6323056527
12	0.6286209752
13	0.6232745958
14	0.6182856354
15	0.6157335963
16	0.6102233506
17	0.6080542072
18	0.6046609734
19	0.6009517188
20	0.5984779641
21	0.5947831653
22	0.592434843
23	0.5902506196
24	0.58705171
25	0.5848884334
26	0.5818547764
27	0.5782608799
28	0.5757713786
29	0.5733200698
30	0.5707187776
31	0.567024815
32	0.5631912161
33	0.5612591206
34	0.558547368
35	0.5562738466
36	0.5537868144
37	0.5520242215
38	0.549082238
39	0.5469003676
40	0.544943096
41	0.543558451
42	0.5417743546
43	0.5395711242
44	0.5378333938
45	0.535483296
46	0.5332559396
47	0.5307101837
48	0.5289755775
49	0.527302826
50	0.5248737039
51	0.5233685173
52	0.5205136252
53	0.5185722467
54	0.5172106837
55	0.5149539629
56	0.5130295766
57	0.5118301404
58	0.5104340417
59	0.5091700594
60	0.5071183321
61	0.5056469056
62	0.5044132769
63	0.5027320146
64	0.5017218577
65	0.5007479969
66	0.4991289155
67	0.4979794972
68	0.4962201377
69	0.494948496
70	0.4935073227
71	0.4924432754
72	0.4905066566
73	0.4892742857
74	0.4880684862
75	0.4867779071
76	0.4854457241
77	0.483756456
78	0.4825338758
79	0.4811429032
80	0.4791455134
81	0.477635402
82	0.4766374606
83	0.4754510146
84	0.4736548486
85	0.4725995245
86	0.4714193231
87	0.4705538516
88	0.4693961581
89	0.4685442894
90	0.4675749968
91	0.4663108301
92	0.4644719595
93	0.463110914
94	0.4623879312
95	0.4609088182
96	0.4602422465
97	0.4592977286
98	0.4583591745
99	0.4574300097
100	0.4564074033
101	0.4555036697
102	0.4546927078
103	0.4536455355
104	0.4523849733
105	0.4514032558
106	0.4506219154
107	0.4497063147
108	0.4488825527
109	0.4478442302
110	0.4467572383
111	0.4459862224
112	0.4453190683
113	0.444714066
114	0.443394172
115	0.4423287647
116	0.4414013601
117	0.4404654446
118	0.4395578039
119	0.4389756235
120	0.4380846776
121	0.4374311875
122	0.4361784632
123	0.4350464394
124	0.4342303721
125	0.4334127048
126	0.4325228465
127	0.4318458786
128	0.4313111783
129	0.4306365864
130	0.4298244987
131	0.4290201052
132	0.4283834693
133	0.4274823422
134	0.4267623501
135	0.426204076
136	0.4255755157
137	0.4249556931
138	0.4241034377
139	0.4234353616
140	0.4226291993
141	0.4219816524
142	0.4212769873
143	0.4206205484
144	0.4201262207
145	0.4193250916
146	0.4187205893
147	0.4180814512
148	0.4176242864
149	0.4168531684
150	0.4162649023
151	0.415650717
152	0.4149764676
153	0.414280968
154	0.4137496578
155	0.4130862494
156	0.412565121
157	0.4120305086
158	0.4114656
159	0.4106133041
160	0.409731985
161	0.4093539652
162	0.4088228981
163	0.4081632309
164	0.407596871
165	0.4071024752
166	0.4065431679
167	0.406002167
168	0.4054915923
169	0.4045742346
170	0.4039081918
171	0.4032188794
172	0.4028113999
173	0.4021829967
174	0.4016487739
175	0.400932937
176	0.4001821955
177	0.3996368423
178	0.3989934653
179	0.3982560797
180	0.3977044434
181	0.3972596326
182	0.3966030097
183	0.3960632234
184	0.3954207141
185	0.3948937677
186	0.3943557671
187	0.3939707746
188	0.3933552142
189	0.3928593535
190	0.3922261963
191	0.3916548321
192	0.3911457839
193	0.3907344777
194	0.3900521564
195	0.3896561145
196	0.389212199
197	0.3885701364
198	0.3880954513
199	0.3873948354
200	0.3868540455
201	0.3863047988
202	0.3858639696
203	0.3855022443
204	0.3850137383
205	0.3845071712
206	0.3839287475
207	0.3835974827
208	0.382853783
209	0.3820932551
210	0.3814732648
211	0.3808868123
212	0.3804341565
213	0.3800188596
214	0.3794862803
215	0.3790575487
216	0.3785030163
217	0.3780865992
218	0.3774493643
219	0.3768694817
220	0.3763092189
221	0.3758639244
222	0.3753894184
223	0.374737671
224	0.3738587975
225	0.3730424305
226	0.372499536
227	0.3720693358
228	0.3715681022
229	0.3711132404
230	0.3706681663
231	0.3701066753
232	0.3699579545
233	0.3694760136
234	0.3689671197
235	0.3685429395
236	0.3683184964
