iter	Passed	Remaining
0	4	1071
1	8	1032
2	11	947
3	14	901
4	17	863
5	20	850
6	24	854
7	27	828
8	30	824
9	34	820
10	37	805
11	39	791
12	42	776
13	45	760
14	47	748
15	50	737
16	53	726
17	55	717
18	58	707
19	60	695
20	63	687
21	65	681
22	68	675
23	70	667
24	73	664
25	76	657
26	79	653
27	82	652
28	85	649
29	88	648
30	90	640
31	92	633
32	95	627
33	97	620
34	100	614
35	102	611
36	105	607
37	108	602
38	110	597
39	112	592
40	115	586
41	117	580
42	119	575
43	121	570
44	124	565
45	126	561
46	128	556
47	131	551
48	133	546
49	135	541
50	138	538
51	140	535
52	143	532
53	145	528
54	148	524
55	150	520
56	152	516
57	154	512
58	157	508
59	159	504
60	161	500
61	163	496
62	165	492
63	168	488
64	170	484
65	172	482
66	175	478
67	177	474
68	179	471
69	181	467
70	183	463
71	186	460
72	188	456
73	190	453
74	192	450
75	195	446
76	197	443
77	199	439
78	201	436
79	203	432
80	205	429
81	207	425
82	210	422
83	212	419
84	214	416
85	216	412
86	218	409
87	220	406
88	223	403
89	225	401
90	227	397
91	229	394
92	232	391
93	234	388
94	236	386
95	239	383
96	241	380
97	243	377
98	245	374
99	247	371
100	249	368
101	251	365
102	253	362
103	255	359
104	258	356
105	260	353
106	262	350
107	264	347
108	266	344
109	268	342
110	270	339
111	272	336
112	275	333
113	277	330
114	279	328
115	281	325
116	283	322
117	286	320
118	288	317
119	290	314
120	292	311
121	294	309
122	297	306
123	299	304
124	301	301
125	303	298
126	305	296
127	308	293
128	310	290
129	312	288
130	314	285
131	316	283
132	318	280
133	321	277
134	323	275
135	325	272
136	327	270
137	329	267
138	331	264
139	334	262
140	336	260
141	338	257
142	340	255
143	343	252
144	345	249
145	347	247
146	349	244
147	351	242
148	353	239
149	356	237
150	358	234
151	360	232
152	362	229
153	364	227
154	366	224
155	368	222
156	371	219
157	373	217
158	375	214
159	377	212
160	379	209
161	381	207
162	384	205
163	386	202
164	388	200
165	390	197
166	392	195
167	395	192
168	397	190
169	399	187
170	401	185
171	403	183
172	405	180
173	408	178
174	410	175
175	412	173
176	414	171
177	416	168
178	418	166
179	421	163
180	423	161
181	425	159
182	427	156
183	429	154
184	431	151
185	434	149
186	436	146
187	438	144
188	440	142
189	442	139
190	444	137
191	446	135
192	448	132
193	451	130
194	453	127
195	455	125
196	458	123
197	460	121
198	463	118
199	465	116
200	467	114
201	470	111
202	472	109
203	474	107
204	477	104
205	479	102
206	481	100
207	483	97
208	485	95
209	488	93
210	490	90
211	492	88
212	494	85
213	497	83
214	499	81
215	502	79
216	504	76
217	506	74
218	508	72
219	511	69
220	513	67
221	515	65
222	517	62
223	520	60
224	522	58
225	524	55
226	526	53
227	528	51
228	530	48
229	533	46
230	535	44
231	538	41
232	540	39
233	542	37
234	545	34
235	548	32
236	551	30
